Pair	Ecotype	Population.ID	VH	WW	MSA	MSD	SBA	AREA	ELONG	DISS	CIRC
D05-H06	Dune	D05	-0.063522268	-0.239027207	-0.06562228	-0.241492761	0.444378252	-0.871274549	-0.885750585	-0.444802289	-0.74001039
D05-H06	Dune	D05	0.46016841	0.404999727	-1.069819936	0.403004647	0.696781674	-0.515700378	-0.230517949	-0.395157662	-0.784935613
D05-H06	Dune	D05	0.518405644	-0.568107169	-1.069819936	-0.681837022	1.074092192	-0.13572655	-1.099315765	0.057872368	-1.418985688
D05-H06	Dune	D05	0.678333355	-0.013374259	1.234133227	1.223113309	0.696781674	-0.564327327	-2.209433207	-0.846812771	-1.46303189
D05-H06	Dune	D05	0.678333355	0.311098721	-0.06562228	1.099255956	0.444378252	0.799519866	-0.618729115	-0.575500546	-0.615119862
D05-H06	Dune	D05	0.797482146	1.118600001	1.01146409	1.968137318	-1.361107807	0.050773762	-0.972392376	-0.689291358	-0.701344107
D05-H06	Dune	D05	-0.125643552	-0.73745623	-1.069819936	-0.417713907	0.817727683	-0.230796869	1.31689403	1.244642609	-1.256900804
D05-H06	Dune	D05	0.106127327	-0.558058668	-1.069819936	0.729862433	0.326025387	-0.13572655	-0.501287151	-0.479594365	-0.706831845
D05-H06	Dune	D05	0.267030226	0.043978862	0.636492963	0.438405291	-0.368197774	-0.646726571	0.194238743	-0.064601262	-0.647110932
D05-H06	Dune	D05	-0.333152589	-1.014585809	-0.06562228	-0.135525674	-0.368197774	0.211839627	0.562926103	1.445295738	-1.538188516
D05-H06	Dune	D05	1.244313251	0.065000776	1.426634074	1.158388871	-0.368197774	-1.002233055	-0.95631872	-0.581928796	-1.333126865
D05-H06	Dune	D05	0.182986899	-0.341853933	0.636492963	0.014646605	-0.032305411	-0.727530508	-0.884318991	-0.657712819	-1.305142138
D05-H06	Dune	D05	0.644530812	1.357230413	0.274088581	0.630692401	-0.032305411	0.308483245	-0.456148958	-0.139506315	-1.066291596
D05-H06	Dune	D05	0.399065922	0.499433667	-0.06562228	0.080273683	-0.032305411	1.888721847	-1.162009803	0.003460252	-2.00604477
D05-H06	Dune	D05	0.450191113	0.673988679	0.274088581	0.858436582	0.916947912	-0.079031741	-1.438012894	-0.826153213	-0.451007865
D05-H06	Dune	D05	0.399065922	0.358692462	0.854769809	1.717738264	0.326025387	-0.141862955	-0.014389716	-0.472702482	-0.455978603
D05-H06	Dune	D05	0.973721501	0.88065633	0.938575375	1.261772776	0.326025387	0.595795098	-0.621030942	-0.016487718	-0.853853954
D05-H06	Dune	D05	0.735360862	0.854499111	1.186202035	1.471274778	0.62471226	-0.055735696	1.261348045	0.597721927	-1.390041464
D05-H06	Dune	D05	0.960506836	0.619437299	0.75619129	0.448418652	1.138601412	-0.685282979	-0.675420636	-0.478477341	-0.728902521
D05-H06	Dune	D05	1.483931781	0.051014866	1.186202035	-0.310339836	0.817727683	0.827317107	-0.318409103	0.513163049	-0.912754108
D05-H06	Dune	D05	1.184764443	0.960947287	-0.06562228	0.423301495	0.817727683	1.719122527	0.573232731	1.04543713	-1.143432364
D05-H06	Dune	D05	1.296077691	0.707820107	0.938575375	-0.078034358	0.817727683	1.189483761	-0.904627576	-0.64654228	-0.18715386
D05-H06	Dune	D05	0.827415324	-0.78254474	0.938575375	0.6490503	-0.368197774	-0.611590914	-1.258691653	-0.675608135	-1.326101645
D12-H14	Dune	D12	1.898769314	0.126561813	1.31921342	0.14975637	0.916947912	0.684672363	-1.228592	-0.542934136	-1.517675429
D12-H14	Dune	D12	2.396166828	2.133981261	1.186202035	1.015333795	1.001071767	0.745971714	-1.353297877	-0.832320179	-1.098148516
D12-H14	Dune	D12	1.350632705	0.6294858	1.01146409	0.074385781	0.817727683	0.994186639	-1.58593129	-0.597155212	-1.880731928
D12-H14	Dune	D12	1.340890171	-0.377548235	-1.069819936	0.115282278	1.001071767	1.018566052	-1.107712658	-0.519907443	-0.767995131
D12-H14	Dune	D12	1.316194192	-0.671973182	1.13378504	-0.214531138	0.760547762	0.746847541	-1.386928452	-0.483095634	-1.880731928
D12-H14	Dune	D12	1.222987976	0.483142598	1.075955086	0.074385781	0.696781674	-0.189653831	-2.765216597	-0.987275355	-1.568887001
D12-H14	Dune	D12	1.195805998	0.910676751	1.002229804	0.403004647	0.760547762	1.371839261	-0.839242682	0.254731327	-1.263736429
D12-H14	Dune	D12	0.470066206	-0.333045356	-1.069819936	0.458387804	1.001071767	0.308483245	0.724091509	1.208757381	-2.938361627
D12-H14	Dune	D12	1.986133399	-0.298257064	1.278286236	-0.395826733	0.916947912	0.921154789	-1.636300616	-0.548502628	-1.390041464
